Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-03T21:30:00Z,APXMIDP,2026-01-03,44,83.70,2674.400
MID,2026-01-03T21:30:00Z,N2EXMIDP,2026-01-03,44,0.00,0.000
MID,2026-01-03T21:00:00Z,APXMIDP,2026-01-03,43,87.11,2887.550
MID,2026-01-03T21:00:00Z,N2EXMIDP,2026-01-03,43,0.00,0.000
MID,2026-01-03T20:30:00Z,APXMIDP,2026-01-03,42,84.23,2499.250
MID,2026-01-03T20:30:00Z,N2EXMIDP,2026-01-03,42,0.00,0.000
MID,2026-01-03T20:00:00Z,APXMIDP,2026-01-03,41,88.80,2332.450
MID,2026-01-03T20:00:00Z,N2EXMIDP,2026-01-03,41,0.00,0.000
MID,2026-01-03T19:30:00Z,APXMIDP,2026-01-03,40,89.00,2284.000
MID,2026-01-03T19:30:00Z,N2EXMIDP,2026-01-03,40,0.00,0.000
MID,2026-01-03T19:00:00Z,APXMIDP,2026-01-03,39,94.03,2432.900
MID,2026-01-03T19:00:00Z,N2EXMIDP,2026-01-03,39,0.00,0.000
MID,2026-01-03T18:30:00Z,APXMIDP,2026-01-03,38,98.50,2821.750
MID,2026-01-03T18:30:00Z,N2EXMIDP,2026-01-03,38,0.00,0.000
MID,2026-01-03T18:00:00Z,APXMIDP,2026-01-03,37,100.97,2761.050
MID,2026-01-03T18:00:00Z,N2EXMIDP,2026-01-03,37,0.00,0.000
MID,2026-01-03T17:30:00Z,APXMIDP,2026-01-03,36,100.85,2907.600
MID,2026-01-03T17:30:00Z,N2EXMIDP,2026-01-03,36,0.00,0.000
