Year,CalendarWeekNumber,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,27728
2026,45,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3585
2026,46,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3560
2026,46,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,27370
2026,46,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,46,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,46,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
